date,actuals,prediction_adjusted
2018-05-27,0,0.0
2018-05-28,0,0.0
2018-05-29,0,0.0
2018-05-30,0,0.0
2018-05-31,0,0.0
2018-06-01,317,1.0
2018-06-02,0,0.0
2018-06-03,138,0.0
2018-06-04,454,73.0
2018-06-05,175,54.0
2018-06-06,13,41.0
2018-06-07,0,18.0
2018-06-08,0,0.0
2018-06-09,43,0.0
2018-06-10,0,0.0
2018-06-11,0,45.0
2018-06-12,248,24.0
2018-06-13,308,12.0
2018-06-14,0,0.0
2018-06-15,0,0.0
2018-06-16,0,0.0
2018-06-17,0,0.0
2018-06-18,0,16.0
2018-06-19,276,0.0
2018-06-20,2,0.0
2018-06-21,0,0.0
2018-06-22,0,0.0
2018-06-23,106,0.0
2018-06-24,0,0.0
2018-06-25,225,0.0
2018-06-26,175,0.0
2018-06-27,0,0.0
2018-06-28,100,0.0
2018-06-30,0,0.0
2018-07-01,29,0.0
2018-07-02,264,0.0
2018-07-03,0,0.0
2018-07-04,0,0.0
2018-07-05,0,0.0
2018-07-06,64,0.0
2018-07-07,56,0.0
2018-07-08,0,0.0
2018-07-09,51,0.0
2018-07-10,132,7.0
2018-07-11,54,0.0
2018-07-12,295,0.0
2018-07-13,26,0.0
2018-07-14,176,0.0
2018-07-15,0,0.0
2018-07-16,162,0.0
2018-07-17,4,0.0
2018-07-18,36,0.0
2018-07-19,51,0.0
2018-07-20,0,0.0
2018-07-21,0,0.0
2018-07-22,0,0.0
2018-07-23,0,0.0
2018-07-24,49,0.0
2018-07-25,0,0.0
2018-07-26,0,0.0
2018-07-27,0,0.0
2018-07-28,0,0.0
2018-07-29,0,0.0
2018-07-30,0,0.0
2018-07-31,0,0.0
2018-08-01,0,0.0
2018-08-02,0,0.0
2018-08-03,133,0.0
2018-08-04,0,0.0
2018-08-05,0,0.0
2018-08-06,0,0.0
2018-08-07,0,6.0
2018-08-08,0,0.0
2018-08-09,0,0.0
2018-08-10,0,0.0
2018-08-11,0,0.0
2018-08-12,0,0.0
2018-08-13,0,0.0
2018-08-14,188,0.0
2018-08-15,0,0.0
2018-08-16,86,0.0
2018-08-17,0,0.0
2018-08-18,0,0.0
2018-08-19,21,0.0
2018-08-20,0,0.0
2018-08-21,171,0.0
2018-08-22,50,0.0
2018-08-23,141,0.0
2018-08-24,4,0.0
2018-08-25,94,0.0
2018-08-26,0,0.0
2018-08-27,18,0.0
2018-08-28,0,0.0
2018-08-30,0,0.0
2018-08-31,143,0.0
2018-09-01,313,0.0
2018-09-02,184,0.0
2018-09-03,317,0.0
2018-09-04,34,0.0
2018-09-05,333,6.0
2018-09-06,182,0.0
2018-09-07,59,0.0
2018-09-08,0,0.0
2018-09-09,0,0.0
2018-09-10,0,0.0
2018-09-11,91,0.0
2018-09-12,113,0.0
2018-09-13,0,0.0
2018-09-14,0,0.0
2018-09-15,0,0.0
2018-09-16,17,0.0
2018-09-17,0,0.0
2018-09-18,0,0.0
2018-09-19,0,0.0
2018-09-20,0,0.0
2018-09-21,38,0.0
2018-09-22,90,0.0
2018-09-23,0,0.0
2018-09-24,0,0.0
2018-09-25,52,0.0
2018-09-26,0,0.0
2018-09-27,0,0.0
2018-09-28,0,0.0
2018-09-30,0,0.0
2018-10-01,92,0.0
2018-10-02,0,0.0
2018-10-03,0,0.0
2018-10-04,231,0.0
2018-10-05,0,0.0
2018-10-06,0,0.0
2018-10-07,0,0.0
2018-10-08,191,0.0
2018-10-09,171,0.0
2018-10-10,0,0.0
2018-10-11,0,0.0
2018-10-12,0,0.0
2018-10-13,57,0.0
2018-10-14,0,0.0
2018-10-15,0,0.0
2018-10-16,57,0.0
2018-10-17,164,0.0
2018-10-18,0,0.0
2018-10-19,0,0.0
2018-10-20,0,0.0
2018-10-21,0,0.0
2018-10-22,0,0.0
2018-10-23,92,0.0
2018-10-24,0,0.0
2018-10-25,0,7.0
2018-10-26,0,0.0
2018-10-27,0,0.0
2018-10-28,0,0.0
2018-10-29,0,0.0
2018-10-30,0,0.0
2018-10-31,0,0.0
2018-11-01,12,0.0
2018-11-02,203,0.0
2018-11-03,0,0.0
2018-11-04,6,0.0
2018-11-05,0,0.0
2018-11-06,0,0.0
2018-11-07,0,0.0
2018-11-08,0,0.0
2018-11-09,0,0.0
2018-11-10,0,0.0
2018-11-11,0,0.0
2018-11-12,0,0.0
2018-11-13,0,0.0
2018-11-14,0,0.0
2018-11-15,0,0.0
2018-11-16,0,0.0
2018-11-17,0,0.0
2018-11-18,0,0.0
2018-11-19,12,0.0
2018-11-20,0,0.0
2018-11-21,0,0.0
2018-11-22,0,0.0
2018-11-23,0,0.0
2018-11-24,0,0.0
2018-11-25,0,0.0
2018-11-26,0,0.0
2018-11-27,0,0.0
2018-11-28,0,0.0
2018-11-30,0,0.0
2018-12-01,108,0.0
2018-12-02,0,0.0
2018-12-03,86,0.0
2018-12-04,0,0.0
2018-12-05,0,0.0
2018-12-06,0,0.0
2018-12-07,0,0.0
2018-12-08,0,0.0
2018-12-09,0,0.0
2018-12-10,0,0.0
2018-12-11,0,0.0
2018-12-12,0,0.0
2018-12-13,0,0.0
2018-12-14,0,0.0
2018-12-15,0,0.0
2018-12-16,0,0.0
2018-12-17,0,0.0
2018-12-18,0,0.0
2018-12-19,0,0.0
2018-12-20,0,0.0
2018-12-21,0,0.0
2018-12-22,0,0.0
2018-12-23,0,0.0
2018-12-24,0,0.0
2018-12-25,0,0.0
2018-12-26,0,0.0
2018-12-27,0,0.0
2018-12-28,0,0.0
2018-12-29,0,0.0
2018-12-30,0,0.0
2018-12-31,0,0.0
2019-01-01,0,0.0
2019-01-02,117,0.0
2019-01-03,0,0.0
2019-01-04,31,649.0
2019-01-05,0,0.0
2019-01-06,0,0.0
2019-01-07,0,0.0
2019-01-08,0,0.0
2019-01-09,0,0.0
2019-01-10,0,0.0
2019-01-11,0,0.0
2019-01-12,0,0.0
2019-01-13,0,0.0
2019-01-14,0,0.0
2019-01-15,0,0.0
2019-01-16,20,0.0
2019-01-17,0,0.0
2019-01-18,0,0.0
2019-01-19,0,0.0
2019-01-20,0,0.0
2019-01-21,0,0.0
2019-01-22,0,0.0
2019-01-23,0,0.0
2019-01-24,0,0.0
2019-01-25,0,0.0
2019-01-26,0,0.0
2019-01-27,0,0.0
2019-01-28,0,0.0
2019-01-30,0,0.0
2019-01-31,0,0.0
2019-02-01,0,0.0
2019-02-02,0,0.0
2019-02-03,0,0.0
2019-02-04,300,0.0
2019-02-05,0,0.0
2019-02-06,0,0.0
2019-02-07,158,0.0
2019-02-08,0,0.0
2019-02-09,0,0.0
2019-02-10,0,0.0
2019-02-11,0,0.0
2019-02-12,0,0.0
2019-02-13,0,0.0
2019-02-14,0,0.0
2019-02-15,0,0.0
2019-02-16,0,0.0
2019-02-17,0,0.0
2019-02-18,0,0.0
2019-02-19,0,0.0
2019-02-20,0,0.0
2019-02-21,78,0.0
2019-02-22,49,0.0
2019-02-23,0,0.0
2019-02-24,0,0.0
2019-02-25,37,0.0
2019-02-26,0,0.0
2019-02-27,72,0.0
2019-02-28,0,0.0
2019-03-02,284,0.0
2019-03-03,171,0.0
2019-03-04,149,0.0
2019-03-05,25,0.0
2019-03-06,0,0.0
2019-03-07,96,52.0
2019-03-08,0,26.0
2019-03-09,0,10.0
2019-03-10,0,55.0
2019-03-11,0,38.0
2019-03-12,32,35.0
2019-03-13,278,45.0
2019-03-14,0,0.0
2019-03-15,0,8.0
2019-03-16,137,0.0
2019-03-17,0,37.0
2019-03-18,0,19.0
2019-03-19,128,16.0
2019-03-20,191,26.0
2019-03-21,109,14.0
2019-03-22,0,0.0
2019-03-23,0,0.0
2019-03-24,34,19.0
2019-03-25,0,1.0
2019-03-26,180,0.0
2019-03-27,0,7.0
2019-03-28,188,0.0
2019-03-29,0,0.0
2019-03-30,0,0.0
2019-03-30,0,2.0
2019-03-31,0,0.0
2019-03-31,0,0.0
2019-04-01,555,0.0
2019-04-02,365,0.0
2019-04-03,445,0.0
2019-04-04,227,0.0
2019-04-05,56,156.0
2019-04-06,137,134.0
2019-04-07,0,139.0
2019-04-08,138,150.0
2019-04-09,180,129.0
2019-04-10,296,105.0
2019-04-11,0,91.0
2019-04-12,0,138.0
2019-04-13,18,116.0
2019-04-14,0,120.0
2019-04-15,321,131.0
2019-04-16,0,110.0
2019-04-17,0,87.0
2019-04-18,86,74.0
2019-04-19,44,0.0
2019-04-20,179,0.0
2019-04-21,96,0.0
2019-04-22,0,0.0
2019-04-23,233,0.0
2019-04-24,330,0.0
2019-04-25,0,13.0
2019-04-26,0,4.0
2019-04-27,0,0.0
2019-04-28,0,0.0
